Begrotingsjaar;Uitgaven Ontvangsten Verplichtingen;Begrotingsnummer;Naam Begroting ;Artikel nummer;Artikel;Stand ontwerpbegroting;Stand vastgestelde begroting;Stand eerste suppletoire;Stand tweede suppletoire;Realisatie
2015;U;IXB;Financiën;5;Exportkrediet- en investeringsverzekering;88058;88058;88058;113158;130837
2015;V;IXB;Financiën;5;Exportkrediet- en investeringsverzekering;10616438;10616438;10616438;10616438;2475497
2015;U;IXB;Financiën;6;BTW-Compensatiefonds;2901122;2901122;2901122;2862444;2870250
2015;V;IXB;Financiën;6;BTW-Compensatiefonds;2901122;2901122;2901122;2862444;2870250
2015;O;IXB;Financiën;7;Beheer materiele activa;1800;1800;1800;1800;2
2015;U;IXB;Financiën;7;Beheer materiele activa;306;306;306;306;0
2015;V;IXB;Financiën;7;Beheer materiele activa;306;306;306;306;0
2015;U;IXB;Financiën;10;Nominaal en onvoorzien;50043;50043;13716;472;0
2015;V;IXB;Financiën;10;Nominaal en onvoorzien;50043;50043;13716;472;0
2015;O;IXB;Financiën;21;Centraal Apparaat;55903;55903;72422;64635;69490
2015;U;IXB;Financiën;21;Centraal Apparaat;236162;236162;245318;237741;229684
2015;V;IXB;Financiën;21;Centraal Apparaat;236162;236162;245318;237691;231903
2015;O;J;Deltafonds;1;Investeren in waterveiligheid;246003;246003;231601;204648;207416
2015;U;J;Deltafonds;1;Investeren in waterveiligheid;903737;903737;791670;716924;715458
2015;V;J;Deltafonds;1;Investeren in waterveiligheid;1021070;1021070;776801;435846;254312
2015;O;J;Deltafonds;2;Investeren in zoetwatervoorziening;4000;4000;3151;1355;2220
2015;U;J;Deltafonds;2;Investeren in zoetwatervoorziening;6249;6249;20090;10125;8336
2015;V;J;Deltafonds;2;Investeren in zoetwatervoorziening;13385;13385;10367;12750;6319
2015;U;J;Deltafonds;3;Beheer, Onderhoud en vervanging;190021;190021;167289;159622;156952
2015;V;J;Deltafonds;3;Beheer, Onderhoud en vervanging;183181;183181;184492;276040;266646
2015;U;J;Deltafonds;4;Experimenteren cf. art.111 Deltawet;11463;11463;0;0;0
2015;O;J;Deltafonds;5;Netwerkgebonden kosten en overige uitgaven;0;0;-37943;-37943;-37943
2015;U;J;Deltafonds;5;Netwerkgebonden kosten en overige uitgaven;216347;216347;219965;250592;249940
2015;V;J;Deltafonds;5;Netwerkgebonden kosten en overige uitgaven;241385;241385;244030;247233;250275
2015;O;J;Deltafonds;6;Bijdrage ten laste van begroting Hoofdstuk XII;1124584;1124584;1049975;1053156;1053156
2015;U;J;Deltafonds;7;Investeren in Waterkwaliteit;46770;46770;47770;33958;34782
2015;V;J;Deltafonds;7;Investeren in Waterkwaliteit;42630;42630;43930;49113;49027
2015;U;V;Buitenlandse Zaken;41;Internationale rechtsorde en eerbiediging mensenrechten;111701;111701;117251;116324;117348
2015;V;V;Buitenlandse Zaken;41;Internationale rechtsorde en eerbiediging mensenrechten;95101;95101;100301;99539;84891
2015;O;V;Buitenlandse Zaken;42;Veiligheid en stabiliteit;1168;1168;1182;3638;6733
2015;U;V;Buitenlandse Zaken;42;Veiligheid en stabiliteit;251622;251622;266918;245367;245493
2015;V;V;Buitenlandse Zaken;42;Veiligheid en stabiliteit;232482;232482;247767;223504;274108
2015;O;V;Buitenlandse Zaken;43;Europese Samenwerking;413890;413890;674858;744791;717880
2015;U;V;Buitenlandse Zaken;43;Europese Samenwerking;6680065;6680065;8113981;9182666;9086883
2015;V;V;Buitenlandse Zaken;43;Europese Samenwerking;7962322;7962322;7939033;9007718;8943747
2015;O;V;Buitenlandse Zaken;44;Consulaire belangenbehartiging;42090;42090;42090;47890;50681
2015;U;V;Buitenlandse Zaken;44;Consulaire belangenbehartiging;53220;53220;57205;56804;58162
2015;V;V;Buitenlandse Zaken;44;Consulaire belangenbehartiging;50981;50981;57200;57470;55086
2015;U;V;Buitenlandse Zaken;46;Nominaal en onvoorzien;25018;17018;1087;30;2
2015;V;V;Buitenlandse Zaken;46;Nominaal en onvoorzien;25018;17018;1087;30;2
2015;O;V;Buitenlandse Zaken;47;Apparaat;19450;19450;21450;28450;37228
2015;U;V;Buitenlandse Zaken;47;Apparaat;752864;760864;757623;747849;723644
2015;V;V;Buitenlandse Zaken;47;Apparaat;675284;683284;680102;724493;721813
2015;O;VI;Justitie en Veiligheid;31;Nationale Politie;500;500;500;500;431
2015;U;VI;Justitie en Veiligheid;31;Nationale Politie;5132936;5132936;5150343;5150542;5146049
2015;V;VI;Justitie en Veiligheid;31;Nationale Politie;5132936;5132936;5150343;5140157;5136389
2015;O;VI;Justitie en Veiligheid;32;Rechtspleging en rechtsbijstand;274980;274980;231020;205220;201948
2015;U;VI;Justitie en Veiligheid;32;Rechtspleging en rechtsbijstand;1439713;1439713;1479166;1474548;1466835
2015;V;VI;Justitie en Veiligheid;32;Rechtspleging en rechtsbijstand;1439713;1439713;1479166;1474548;1469308
2015;O;VI;Justitie en Veiligheid;33;Veiligheid en criminaliteitsbestrijding;1066898;1066898;1068425;959625;933123
2015;U;VI;Justitie en Veiligheid;33;Veiligheid en criminaliteitsbestrijding;662722;662722;713745;735155;754100
2015;V;VI;Justitie en Veiligheid;33;Veiligheid en criminaliteitsbestrijding;662722;662722;713745;735155;688928
2015;O;VI;Justitie en Veiligheid;34;Straffen en Beschermen;79665;79665;76525;71058;73862
2015;U;VI;Justitie en Veiligheid;34;Straffen en Beschermen;2416080;2416080;2550644;2497907;2501165
2015;V;VI;Justitie en Veiligheid;34;Straffen en Beschermen;2416080;2416080;2550644;2508282;2520029
2015;O;VI;Justitie en Veiligheid;35;Jeugd;1487;1487;6552;14440;16998
2015;U;VI;Justitie en Veiligheid;35;Jeugd;372566;372566;375431;373397;370136
2015;V;VI;Justitie en Veiligheid;35;Jeugd;372566;372566;375431;373397;372558
2015;O;VI;Justitie en Veiligheid;36;Contraterrorisme en Nationaal Veiligheidsbeleid;0;0;0;0;2589
2015;U;VI;Justitie en Veiligheid;36;Contraterrorisme en Nationaal Veiligheidsbeleid;248052;248052;262333;261799;262894
2015;V;VI;Justitie en Veiligheid;36;Contraterrorisme en Nationaal Veiligheidsbeleid;248052;248052;262333;261799;277987
2015;O;VI;Justitie en Veiligheid;37;Vreemdelingen;0;0;35500;61300;70537
2015;U;VI;Justitie en Veiligheid;37;Vreemdelingen;757030;757030;1224708;1773893;1763195
2015;V;VI;Justitie en Veiligheid;37;Vreemdelingen;757030;757030;1224708;1773893;1922710
2015;O;VI;Justitie en Veiligheid;91;Apparaatsuitgaven kerndepartement;706;706;55192;76985;77180
2015;U;VI;Justitie en Veiligheid;91;Apparaatsuitgaven kerndepartement;403038;403038;429692;455118;451447
2015;V;VI;Justitie en Veiligheid;91;Apparaatsuitgaven kerndepartement;387481;387481;414135;439561;440667
2015;U;VI;Justitie en Veiligheid;92;Nominaal en onvoorzien;2218;2218;25092;3544;0
2015;V;VI;Justitie en Veiligheid;92;Nominaal en onvoorzien;2218;2218;25092;3543;0
2015;O;VI;Justitie en Veiligheid;93;Geheim;0;0;0;0;413
2015;U;VI;Justitie en Veiligheid;93;Geheim;3058;3058;3058;3066;2285
2015;V;VI;Justitie en Veiligheid;93;Geheim;3058;3058;3058;3066;2285
2015;O;VII;Binnenlandse Zaken en Koninkrijksrelaties;61;Openbaar bestuur en democratie;21965;21965;21965;25697;25768
2015;U;VII;Binnenlandse Zaken en Koninkrijksrelaties;61;Openbaar bestuur en democratie;30383;30383;35971;37411;33112
2015;V;VII;Binnenlandse Zaken en Koninkrijksrelaties;61;Openbaar bestuur en democratie;30383;30383;35971;37411;49536
2015;O;VII;Binnenlandse Zaken en Koninkrijksrelaties;62;Algemene Inlichtingen- en Veiligheidsdienst;12714;12714;12714;5914;6199
2015;U;VII;Binnenlandse Zaken en Koninkrijksrelaties;62;Algemene Inlichtingen- en Veiligheidsdienst;212743;212743;212276;205412;207693
2015;V;VII;Binnenlandse Zaken en Koninkrijksrelaties;62;Algemene Inlichtingen- en Veiligheidsdienst;212743;212743;212276;205412;242487
2015;O;VII;Binnenlandse Zaken en Koninkrijksrelaties;66;Dienstverlenende en innovatieve overheid;0;0;5886;13836;13053
2015;U;VII;Binnenlandse Zaken en Koninkrijksrelaties;66;Dienstverlenende en innovatieve overheid;88885;88885;120392;179017;178095
2015;V;VII;Binnenlandse Zaken en Koninkrijksrelaties;66;Dienstverlenende en innovatieve overheid;88885;88885;120392;179017;242013
2015;O;VII;Binnenlandse Zaken en Koninkrijksrelaties;67;Arbeidszaken overheid;820;820;820;830;1919
2015;U;VII;Binnenlandse Zaken en Koninkrijksrelaties;67;Arbeidszaken overheid;35546;35546;35558;34204;35019
2015;V;VII;Binnenlandse Zaken en Koninkrijksrelaties;67;Arbeidszaken overheid;35546;35546;35558;34204;33972
2015;O;VII;Binnenlandse Zaken en Koninkrijksrelaties;71;Centraal Apparaat;6054;6054;86340;96482;95921
2015;U;VII;Binnenlandse Zaken en Koninkrijksrelaties;71;Centraal Apparaat;252326;252326;337692;344371;343635
2015;V;VII;Binnenlandse Zaken en Koninkrijksrelaties;71;Centraal Apparaat;253792;253792;339158;345837;347673
2015;U;VII;Binnenlandse Zaken en Koninkrijksrelaties;72;Algemeen;3689;3689;845;1157;824
2015;V;VII;Binnenlandse Zaken en Koninkrijksrelaties;72;Algemeen;1304;1304;-1540;1157;952
2015;U;VII;Binnenlandse Zaken en Koninkrijksrelaties;73;Nominaal en onvoorzien;10554;10554;3319;0;0
2015;V;VII;Binnenlandse Zaken en Koninkrijksrelaties;73;Nominaal en onvoorzien;10554;10554;3319;0;0
2015;O;VII;Binnenlandse Zaken en Koninkrijksrelaties;74;VUT-fonds;715800;715800;792600;741200;741290
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;1;Primair onderwijs;1661;1661;1661;18361;17530
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;1;Primair onderwijs;9963954;9963954;9935976;10058138;10032762
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;3;Voortgezet onderwijs;1361;1361;1361;3961;8795
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;3;Voortgezet onderwijs;7480508;7480508;7533960;7650331;7662616
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;4;Beroepsonderwijs en volwasseneneducatie;0;0;6500;6500;10875
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;4;Beroepsonderwijs en volwasseneneducatie;4107238;4107238;4067876;4087946;4065903
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;6;Hoger beroepsonderwijs;1213;1213;1213;1213;1288
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;6;Hoger beroepsonderwijs;2774109;2770109;2787395;2811237;2811099
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;7;Wetenschappelijk onderwijs;16;16;16;16;592
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;7;Wetenschappelijk onderwijs;4145632;4139632;4169574;4210520;4210383
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;8;Internationaal onderwijsbeleid;99;99;99;99;113
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;8;Internationaal onderwijsbeleid;11235;11235;12158;13445;12669
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;9;Arbeidsmarkt en personeelsbeleid;6000;6000;6000;6000;7596
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;9;Arbeidsmarkt en personeelsbeleid;249541;249541;268258;228579;209749
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;11;Studiefinanciering;804481;804481;816984;776984;764976
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;11;Studiefinanciering;4246402;4246402;4217490;4311079;4367687
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;12;Tegemoetkoming studiekosten;3709;3709;3288;3288;3444
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;12;Tegemoetkoming studiekosten;89214;89214;94738;95364;93696
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;13;Lesgelden;246227;246227;242600;252600;259160
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;13;Lesgelden;7515;7515;7452;7605;7626
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;14;Cultuur;780;780;2687;3105;32322
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;14;Cultuur;733744;733744;716064;716689;713445
2015;V;VIII;Onderwijs, Cultuur en Wetenschap;14;Cultuur;-450;-450;-450;-450;-450
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;15;Media;190500;190500;191500;191500;191501
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;15;Media;996406;996406;854569;864627;864629
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;16;Onderzoek en wetenschappen;101;101;101;101;441
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;16;Onderzoek en wetenschappen;973046;973046;1012511;1035879;1034719
2015;V;VIII;Onderwijs, Cultuur en Wetenschap;16;Onderzoek en wetenschappen;450;450;450;450;450
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;25;Emancipatie;0;0;0;0;58
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;25;Emancipatie;15172;15172;15238;13337;12968
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;91;Nominaal en onvoorzien;1355;1355;230807;0;0
2015;O;VIII;Onderwijs, Cultuur en Wetenschap;95;Apparaatskosten;567;567;567;1717;2973
2015;U;VIII;Onderwijs, Cultuur en Wetenschap;95;Apparaatskosten;247052;247052;244571;249223;249788
2015;O;X;Defensie;1;Opdracht Inzet;6707;6707;6707;20907;35300
2015;U;X;Defensie;1;Opdracht Inzet;304026;404026;327977;291296;272617
2015;V;X;Defensie;1;Opdracht Inzet;304026;404026;327977;291296;268240
2015;O;X;Defensie;2;Taakuitvoering Zeestrijdkrachten;19951;19951;19951;16388;14387
2015;U;X;Defensie;2;Taakuitvoering Zeestrijdkrachten;696160;696160;708104;733470;744365
2015;V;X;Defensie;2;Taakuitvoering Zeestrijdkrachten;696160;696160;708104;733470;790537
2015;O;X;Defensie;3;Taakuitvoering Landstrijdkrachten;20523;20523;20523;16546;13672
2015;U;X;Defensie;3;Taakuitvoering Landstrijdkrachten;1121002;1121002;1163172;1207670;1221224
2015;V;X;Defensie;3;Taakuitvoering Landstrijdkrachten;1121002;1121002;1163172;1207670;1146024
2015;O;X;Defensie;4;Taakuitvoering Luchtstrijdkrachten;15227;15227;15759;15566;14037
2015;U;X;Defensie;4;Taakuitvoering Luchtstrijdkrachten;644308;644308;691825;697187;711856
2015;V;X;Defensie;4;Taakuitvoering Luchtstrijdkrachten;644308;644308;691825;697187;801969
2015;O;X;Defensie;5;Taakuitvoering Koninklijke Marechaussee;4590;4590;4590;5508;5540
2015;U;X;Defensie;5;Taakuitvoering Koninklijke Marechaussee;311472;311472;321891;337871;337157
2015;V;X;Defensie;5;Taakuitvoering Koninklijke Marechaussee;311472;311472;321891;337871;336732
2015;O;X;Defensie;6;Investeringen Krijgsmacht;152556;152556;189719;211795;222796
2015;U;X;Defensie;6;Investeringen Krijgsmacht;1408438;1308438;1204981;1039431;1101504
2015;V;X;Defensie;6;Investeringen Krijgsmacht;1556041;1456041;1278384;1894534;2162332
2015;O;X;Defensie;7;Ondersteuning krijgsmacht door Defensie Materieel Org;42933;42933;42933;42909;44077
2015;U;X;Defensie;7;Ondersteuning krijgsmacht door Defensie Materieel Org;742400;742400;726006;736046;758507
2015;V;X;Defensie;7;Ondersteuning krijgsmacht door Defensie Materieel Org;742400;742400;726006;736046;830487
2015;O;X;Defensie;8;Ondersteuning krijgsmacht door Cdo Dienstencentra;53764;53764;51860;54806;56903
2015;U;X;Defensie;8;Ondersteuning krijgsmacht door Cdo Dienstencentra;1037650;1037650;1052997;1047935;1051112
2015;V;X;Defensie;8;Ondersteuning krijgsmacht door Cdo Dienstencentra;1037650;1037650;1052997;1056816;1078400
2015;U;X;Defensie;9;Algemeen;102460;102460;96816;103713;84447
2015;V;X;Defensie;9;Algemeen;102460;102460;96816;105113;103254
2015;O;X;Defensie;10;Centraal apparaat;6811;6811;6818;27577;28255
2015;U;X;Defensie;10;Centraal apparaat;1599771;1599771;1614844;1558041;1527669
2015;V;X;Defensie;10;Centraal apparaat;1599771;1599771;1614844;1624681;1529741
2015;U;X;Defensie;11;Geheime uitgaven;5339;5339;5339;5355;5385
2015;V;X;Defensie;11;Geheime uitgaven;5339;5339;5339;5355;5385
2015;U;X;Defensie;12;Nominaal en onvoorzien;27337;27337;79859;103;0
2015;V;X;Defensie;12;Nominaal en onvoorzien;27337;27337;79859;103;0
2015;O;XII;Infrastructuur en Waterstaat;11;Integraal waterbeleid;23800;23800;23800;23800;24357
2015;U;XII;Infrastructuur en Waterstaat;11;Integraal waterbeleid;37847;37847;36547;35343;34852
2015;V;XII;Infrastructuur en Waterstaat;11;Integraal waterbeleid;30634;30634;35628;34681;32289
2015;U;XII;Infrastructuur en Waterstaat;12;Waterkwaliteit;6225;6225;5565;6185;5915
2015;V;XII;Infrastructuur en Waterstaat;12;Waterkwaliteit;4564;4564;4476;4593;4193
2015;O;XII;Infrastructuur en Waterstaat;13;Ruimtelijke Ontwikkeling;934;934;3824;4929;6371
2015;U;XII;Infrastructuur en Waterstaat;13;Ruimtelijke Ontwikkeling;194736;194236;113120;112110;112043
2015;V;XII;Infrastructuur en Waterstaat;13;Ruimtelijke Ontwikkeling;172802;172302;92563;96721;69162
2015;O;XII;Infrastructuur en Waterstaat;14;Wegen en verkeersveiligheid;6782;6782;6384;6862;2504
2015;U;XII;Infrastructuur en Waterstaat;14;Wegen en verkeersveiligheid;32043;32043;33138;40066;40064
2015;V;XII;Infrastructuur en Waterstaat;14;Wegen en verkeersveiligheid;30322;30322;32542;42172;40149
2015;O;XII;Infrastructuur en Waterstaat;15;OV-keten;0;0;122;0;0
2015;U;XII;Infrastructuur en Waterstaat;15;OV-keten;6021;6521;6480;5614;5673
2015;V;XII;Infrastructuur en Waterstaat;15;OV-keten;6021;6521;5217;4708;4712
2015;U;XII;Infrastructuur en Waterstaat;16;Spoor;28785;28785;38875;25778;24603
2015;V;XII;Infrastructuur en Waterstaat;16;Spoor;19709;19709;38110;51900;49388
2015;O;XII;Infrastructuur en Waterstaat;17;Luchtvaart;33109;33109;33349;33531;31354
2015;U;XII;Infrastructuur en Waterstaat;17;Luchtvaart;23759;23759;23120;23130;21288
2015;V;XII;Infrastructuur en Waterstaat;17;Luchtvaart;20617;20617;19919;21095;19220
2015;O;XII;Infrastructuur en Waterstaat;18;Scheepvaart en havens;0;0;141;0;0
2015;U;XII;Infrastructuur en Waterstaat;18;Scheepvaart en havens;4732;4732;13168;12463;10932
2015;V;XII;Infrastructuur en Waterstaat;18;Scheepvaart en havens;4707;4707;34093;33238;30508
2015;O;XII;Infrastructuur en Waterstaat;19;Klimaat;168000;168000;168000;168000;188286
2015;U;XII;Infrastructuur en Waterstaat;19;Klimaat;59915;59915;70905;84598;81400
2015;V;XII;Infrastructuur en Waterstaat;19;Klimaat;55891;55891;58325;43978;32414
2015;O;XII;Infrastructuur en Waterstaat;20;Lucht en geluid;0;0;0;0;169
2015;U;XII;Infrastructuur en Waterstaat;20;Lucht en geluid;36450;36450;36426;32270;31867
2015;V;XII;Infrastructuur en Waterstaat;20;Lucht en geluid;25638;25638;35421;29315;31227
2015;O;XII;Infrastructuur en Waterstaat;21;Duurzaamheid;0;0;0;0;6
2015;U;XII;Infrastructuur en Waterstaat;21;Duurzaamheid;20493;21493;19358;18595;18530
2015;V;XII;Infrastructuur en Waterstaat;21;Duurzaamheid;19262;20262;20986;19868;17656
2015;O;XII;Infrastructuur en Waterstaat;22;Omgevingsveiligheid en milieurisico's;2719;2719;12922;11793;11607
2015;U;XII;Infrastructuur en Waterstaat;22;Omgevingsveiligheid en milieurisico's;43846;42846;47869;30443;25225
2015;V;XII;Infrastructuur en Waterstaat;22;Omgevingsveiligheid en milieurisico's;42203;41203;51155;39078;30217
2015;U;XII;Infrastructuur en Waterstaat;23;Meteorologie, seismologie en aardobservatie;39914;39914;40079;41033;41030
2015;V;XII;Infrastructuur en Waterstaat;23;Meteorologie, seismologie en aardobservatie;40781;40781;40946;41900;42200
2015;U;XII;Infrastructuur en Waterstaat;24;Handhaving en toezicht;110047;110047;107114;119051;119051
2015;V;XII;Infrastructuur en Waterstaat;24;Handhaving en toezicht;110047;110047;107114;119051;119051
2015;U;XII;Infrastructuur en Waterstaat;25;Bijdrage BDU;1782405;1782405;1873406;1879591;1878691
2015;V;XII;Infrastructuur en Waterstaat;25;Bijdrage BDU;1807451;1807451;1807451;1813636;884538
2015;U;XII;Infrastructuur en Waterstaat;26;Bijdrage investeringsfondsen;6453944;6453944;6048808;5873153;5874315
2015;V;XII;Infrastructuur en Waterstaat;26;Bijdrage investeringsfondsen;6453944;6453944;6048808;5873153;5874315
2015;O;XII;Infrastructuur en Waterstaat;97;Algemeen departement;3373;3373;2273;2511;3646
2015;U;XII;Infrastructuur en Waterstaat;97;Algemeen departement;45445;45445;46804;50636;50901
2015;V;XII;Infrastructuur en Waterstaat;97;Algemeen departement;45168;45168;48957;54714;50181
2015;O;XII;Infrastructuur en Waterstaat;98;Apparaatsuitgaven Kerndepartement;2434;2434;13425;35448;37258
2015;U;XII;Infrastructuur en Waterstaat;98;Apparaatsuitgaven Kerndepartement;300273;300273;328596;329255;326186
2015;V;XII;Infrastructuur en Waterstaat;98;Apparaatsuitgaven Kerndepartement;296110;296110;321287;329057;325007
2015;O;XII;Infrastructuur en Waterstaat;99;Nominaal en onvoorzien;0;0;1388;0;0
2015;U;XII;Infrastructuur en Waterstaat;99;Nominaal en onvoorzien;8593;8593;64086;0;0
2015;V;XII;Infrastructuur en Waterstaat;99;Nominaal en onvoorzien;8593;8593;64086;0;0
2015;O;XIII;Economische Zaken en Klimaat;11;Goed functionerende economie en markten;52265;52265;37165;27068;52224
2015;U;XIII;Economische Zaken en Klimaat;11;Goed functionerende economie en markten;192483;192483;197829;201891;200072
2015;V;XIII;Economische Zaken en Klimaat;11;Goed functionerende economie en markten;192396;192396;198132;201372;197904
2015;O;XIII;Economische Zaken en Klimaat;12;Een sterk innovatievermogen;61601;42013;44013;44013;51891
